topic,timestamp,payload
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.644Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: <-- [254,27,68,129,0,0,1,0,250,203,1,1,0,120,0,214,83,223,0,0,7,24,110,10,33,0,32,200,250,203,29,82]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.672Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext [254,27,68,129,0,0,1,0,250,203,1,1,0,120,0,214,83,223,0,0,7,24,110,10,33,0,32,200,250,203,29,82]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.672Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --> parsed 27 - 2 - 4 - 129 - [0,0,1,0,250,203,1,1,0,120,0,214,83,223,0,0,7,24,110,10,33,0,32,200,250,203,29] - 82""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.673Z","{""level"":""debug"",""message"":""zh:zstack:znp: <-- AREQ: AF - incomingMsg - {\""groupid\"":0,\""clusterid\"":1,\""srcaddr\"":52218,\""srcendpoint\"":1,\""dstendpoint\"":1,\""wasbroadcast\"":0,\""linkquality\"":120,\""securityuse\"":0,\""timestamp\"":14635990,\""transseqnumber\"":0,\""len\"":7,\""data\"":{\""type\"":\""Buffer\"",\""data\"":[24,110,10,33,0,32,200]}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.703Z","{""level"":""debug"",""message"":""zh:controller: Received payload: clusterID=1, address=52218, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=120, frame={\""header\"":{\""frameControl\"":{\""frameType\"":0,\""manufacturerSpecific\"":false,\""direction\"":1,\""disableDefaultResponse\"":true,\""reservedBits\"":0},\""transactionSequenceNumber\"":110,\""commandIdentifier\"":10},\""payload\"":[{\""attrId\"":33,\""dataType\"":32,\""attrData\"":200}],\""command\"":{\""ID\"":10,\""name\"":\""report\"",\""parameters\"":[{\""name\"":\""attrId\"",\""type\"":33},{\""name\"":\""dataType\"",\""type\"":32},{\""name\"":\""attrData\"",\""type\"":1000}]}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.704Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext []""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.704Z","{""level"":""debug"",""message"":""z2m: Received Zigbee message from 'Sensor-6-OLAF', type 'attributeReport', cluster 'genPowerCfg', data '{\""batteryPercentageRemaining\"":200}' from endpoint 1 with groupID 0""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.736Z","{""level"":""debug"",""message"":""z2m: Evento Zigbee de 0x00124b002a6b60a6: tipo=attributeReport, cluster=genPowerCfg""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.736Z","{""level"":""debug"",""message"":""z2m: 📊 Cambio de estado para Sensor-6-OLAF: {\""battery\"":100}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.737Z","{""level"":""info"",""message"":""z2m: 🔋 Sensor-6-OLAF: Batería 100%, Voltaje: 3100V""}"
